customer_id,first_name,last_name,address,sec_address,zipcode,city,state,Country
0, Addison, Riley,9816 Rosewood Drive,,93304,Bakersfield,CA,USA
1, Elizabeth, Mendoza,3071 Sycamore Drive,unit 6,93304,Bakersfield,CA,USA
2, Jordyn, Ellis,76 Spring Street,,93304,Bakersfield,CA,USA
3, Ava, Bowers,1553 McKinley Avenue,,93301,Bakersfield,CA,USA
4, Finn, Davenport,5920 Arthur Street,apt 13,93304,Bakersfield,CA,USA
5, Gabriel, Kidd,4734 Arthur Road,,93309,Bakersfield,CA,USA
6, Addison, Turner,4571 Oak Avenue,,93308,Bakersfield,CA,USA
7, Arthur, Davis,5710 Willow Lane,unit 27,93301,Bakersfield,CA,USA
8, Gabrielle, Rivera,60 Elm Lane,bldg 43,93306,Bakersfield,CA,USA
9, Jeremiah, Martin,6297 Oakwood Avenue,,93304,Bakersfield,CA,USA
10, Audrey, Deleon,5023 Forest Avenue,apt 5,93309,Bakersfield,CA,USA
11, Sydney, Hart,7900 Chestnut Drive,bldg 39,93308,Bakersfield,CA,USA
12, Colton, Jordan,1576 Acorn Avenue,apt 28,93308,Bakersfield,CA,USA
13, Aria, Morales,8240 Monroe Drive,bldg 45,93304,Bakersfield,CA,USA
14, Amaya, Ramirez,4671 Forest Drive,,93301,Bakersfield,CA,USA
15, Gideon, Rojas,8724 Taft Lane,,93304,Bakersfield,CA,USA
16, William, Taylor,8037 Winter Drive,,93304,Bakersfield,CA,USA
17, Savannah, Campbell,1729 Jackson Street,apt 26,93301,Bakersfield,CA,USA
18, Naomi, Flores,2389 Cleveland Avenue,,93301,Bakersfield,CA,USA
19, Zachary, McDaniel,9605 Laurel Road,,93304,Bakersfield,CA,USA
20, Caleb, Lindsey,1597 Pine Drive,bldg 35,93304,Bakersfield,CA,USA
21, Adrian, Gonzalez,2167 Birchwood Boulevard,,93304,Bakersfield,CA,USA
22, Isabella, West,1874 Magnolia Avenue,,93304,Bakersfield,CA,USA
23, Isaiah, Short,5039 Oak Avenue,apt 45,93304,Bakersfield,CA,USA
24, Oliver, Brock,3321 Birchcrest Avenue,,93301,Bakersfield,CA,USA
25, Claire, Bryant,5382 Willow Avenue,,93304,Bakersfield,CA,USA
26, Sydney, Myers,1486 Sunset Boulevard,,93304,Bakersfield,CA,USA
27, Julia, Harris,146 Oakdale Avenue,,93306,Bakersfield,CA,USA
28, Zachary, Aguilar,8240 Walnut Lane,bldg 35,93304,Bakersfield,CA,USA
29, Hannah, Cole,8495 Magnolia Avenue,,93301,Bakersfield,CA,USA
30, Mackenzie, Ramirez,6975 Juniper Lane,apt 7,93304,Bakersfield,CA,USA
31, Nora, Brown,5077 Sycamore Boulevard,,93304,Bakersfield,CA,USA
32, August, Morales,7403 Elmwood Street,unit 17,93301,Bakersfield,CA,USA
33, Elizabeth, Short,6618 Grove Avenue,,93301,Bakersfield,CA,USA
34, Harley, Turner,7891 Sycamore Avenue,bldg 38,93305,Bakersfield,CA,USA
35, Claire, Taylor,8228 Cleveland Avenue,bldg 32,93305,Bakersfield,CA,USA
36, Thomas, Hopkins,728 Walnut Street,,93308,Bakersfield,CA,USA
37, Peyton, Perez,6595 Redwood Drive,,93301,Bakersfield,CA,USA
38, Eliana, Morales,9255 Maplehurst Lane,,93301,Bakersfield,CA,USA
39, Audrey, Henderson,2033 Jackson Drive,bldg 18,93306,Bakersfield,CA,USA
40, Mia, Foster,9788 Birchwood Road,unit 27,93301,Bakersfield,CA,USA
41, Gabriella, McCall,3485 Pineview Drive,apt 1,93304,Bakersfield,CA,USA
42, Ariel, McCall,9303 Sycamore Boulevard,,93305,Bakersfield,CA,USA
43, Harrison, Morales,6263 Taft Avenue,,93304,Bakersfield,CA,USA
44, Danielle, King,2905 Jefferson Avenue,unit 13,93308,Bakersfield,CA,USA
45, Grace, Hernandez,5967 Pinecrest Avenue,,93304,Bakersfield,CA,USA
46, Beckett, Richardson,9262 Magnolia Street,,93301,Bakersfield,CA,USA
47, Claire, Duke,928 Redwood Avenue,,93309,Bakersfield,CA,USA
48, Henry, Liu,7563 Willowbrook Lane,,93305,Bakersfield,CA,USA
49," Raegan

", Cook,6619 Redwood Road,,93304,Bakersfield,CA,USA
50, Caleb, Castro,8253 Maple Avenue,,93309,Bakersfield,CA,USA
51, Nicholas, Buchanan,7727 Laurel Road,,93308,Bakersfield,CA,USA
52, Jason, Rojas,8503 Birchwood Street,,93308,Bakersfield,CA,USA
53, Axel, Morris,2820 Willowwood Street,,93304,Bakersfield,CA,USA
54, Amelia,Smith,3776 Arthur Road,,93301,Bakersfield,CA,USA
55, Evelyn, Martinez,529 Cleveland Avenue,,93304,Bakersfield,CA,USA
56, Charlotte, Henderson,4818 Birchcrest Avenue,,93304,Bakersfield,CA,USA
57, Jordan, Lawson,5308 Dogwood Avenue,,93309,Bakersfield,CA,USA
58, Miles, Wyatt,9425 Pine Lane,unit 37,93301,Bakersfield,CA,USA
59, Julia, Schwartz,424 Dogwood Drive,,93301,Bakersfield,CA,USA
60, James, Lynch,3750 Redwood Street,,93304,Bakersfield,CA,USA
61, Charles, Rhodes,7416 Truman Street,,93301,Bakersfield,CA,USA
62, Landon, Stout,1193 Spruce Lane,,93301,Bakersfield,CA,USA
63, Paisley, Harris,5705 Spruce Avenue,apt 43,93304,Bakersfield,CA,USA
64, Micah, Adams,1059 Eisenhower Avenue,,93304,Bakersfield,CA,USA
65, Harley, Allen,8979 Harrison Street,bldg 35,93304,Bakersfield,CA,USA
66, Jade, Morales,2619 Walnut Lane,,93306,Bakersfield,CA,USA
67, Gabriel, Kim,5970 Jackson Drive,bldg 49,93301,Bakersfield,CA,USA
68, Colton, Martinez,9616 Cherry Street,,93306,Bakersfield,CA,USA
69, Theodore, Anderson,6614 Birch Lane,,93304,Bakersfield,CA,USA
70, Nicholas, Mendoza,4339 Oak Avenue,,93305,Bakersfield,CA,USA
71, Camila, Bailey,7080 Meadow Lane,,93301,Bakersfield,CA,USA
72, Madison, Brown,953 Jackson Drive,,93304,Bakersfield,CA,USA
73, Cole, McDaniel,4671 Pine Lane,apt 22,93304,Bakersfield,CA,USA
74, Grace, Mason,5769 McKinley Road,unit 12,93301,Bakersfield,CA,USA
75,Alexander, Perez,8253 Laurel Drive,,93304,Bakersfield,CA,USA
76, Jaxon, White,2137 Pinehurst Drive,unit 17,93308,Bakersfield,CA,USA
77, Finn, Jackson,5963 Dogwood Drive,,93304,Bakersfield,CA,USA
78, Nathan, Stevenson,2905 Dogwood Avenue,,93305,Bakersfield,CA,USA
79, Gabriella, Gates,2163 Pine Road,,93301,Bakersfield,CA,USA
80, Leah, Luna,8942 Arthur Street,,93308,Bakersfield,CA,USA
81, Olivia, Dixon,3878 Redwood Avenue,unit 33,93301,Bakersfield,CA,USA
82, Sophia, Aguilar,5017 Meadow Lane,,93301,Bakersfield,CA,USA
83, Rebecca, Morales,5043 Laurel Road,apt 40,93301,Bakersfield,CA,USA
84, Morgan, Buchanan,230 Grant Avenue,,93305,Bakersfield,CA,USA
85, Valeria, Munoz,2226 Harding Boulevard,unit 44,93309,Bakersfield,CA,USA
86, Annabelle, Hendricks,2695 Cleveland Avenue,,93306,Bakersfield,CA,USA
87, Leah, McCarty,7363 Elm Avenue,,93301,Bakersfield,CA,USA
88, Ethan, Harrison,229 Garfield Road,,93301,Bakersfield,CA,USA
89, Emily, Parker,4749 Acorn Avenue,,93301,Bakersfield,CA,USA
90, Peyton, Johnson,3903 Birch Lane,,93304,Bakersfield,CA,USA
91, Lucas, Garcia,9720 Harrison Street,apt 11,93301,Bakersfield,CA,USA
92, Kingston, Deleon,8837 Elmwood Street,,93301,Bakersfield,CA,USA
93, Isabella, Carlson,1668 Cleveland Avenue,,93308,Bakersfield,CA,USA
94, Jonathan, Burgess,632 Willow Lane,,93304,Bakersfield,CA,USA
95, Benjamin, Turner,6108 Acorn Drive,,93304,Bakersfield,CA,USA
96, Audrey, Jackson,754 Sycamore Avenue,,93301,Bakersfield,CA,USA
97, Roman, Cole,6956 Adams Lane,apt 3,93304,Bakersfield,CA,USA
98, Jason, McCall,1859 Juniper Avenue,,93304,Bakersfield,CA,USA
99, Audrey, Valdez,6687 Willow Avenue,,93304,Bakersfield,CA,USA
100, Esther, Alexander,8800 Washington Street,,93308,Bakersfield,CA,USA
101, Jordyn, Nguyen,5232 Elmwood Road,,93301,Bakersfield,CA,USA
102, Isaac, Chen,369 Birchcrest Avenue,,93306,Bakersfield,CA,USA
103, Noah, Buchanan,7970 Acorn Avenue,unit 46,93304,Bakersfield,CA,USA
104, Morgan, Oliver,673 Redwood Drive,apt 30,93304,Bakersfield,CA,USA
105, Gavin, White,3623 Roosevelt Street,apt 38,93301,Bakersfield,CA,USA
106, Layla, Oliver,5663 Magnolia Lane,apt 20,93304,Bakersfield,CA,USA
107, Ariel, Walker,4397 Elm Avenue,,93304,Bakersfield,CA,USA
108, Emmanuel, Stewart,6503 Birchwood Road,,93304,Bakersfield,CA,USA
109, Adrian, Holland,5379 River Road,bldg 36,93304,Bakersfield,CA,USA
110, Gianna," Yu
",3987 Chestnut Lane,bldg 13,93304,Bakersfield,CA,USA
111, Ava, Pham,3471 Oak Boulevard,,93301,Bakersfield,CA,USA
112, Tristan, Mitchell,2421 Magnolia Avenue,,93301,Bakersfield,CA,USA
113, Esther, Ward,2603 Laurel Road,apt 31,93304,Bakersfield,CA,USA
114, Gabriel, Lee,7845 Coolidge Avenue,,93304,Bakersfield,CA,USA
115, Natalie, Chan,9430 Dogwood Drive,bldg 3,93307,Bakersfield,CA,USA
116, Sophia, Duffy,9319 Laurel Avenue,unit 8,93301,Bakersfield,CA,USA
117, Skylar, Mason,7632 Walnut Street,,93308,Bakersfield,CA,USA
